name,preds
P15941,0.9039049
Q7Z434,0.019694403
O43561,0.019152831
P31431,0.055619262
O75445,0.37864983
Q9UM73,0.09843944
Q9H461,0.6137372
O14763,0.10572031
P46531,0.9749737
Q8N114,0.054976456
Q07065,0.5859378
P08172,0.0420463
Q08345,0.10671184
O60500,0.5198924
P05067,0.85776454
Q8WXG9,0.13814001
P11362,0.58875465
P40967,0.047364876
P07766,0.056207802
P20963,0.022925457
P04626,0.2811318
O75460,0.09216951
P35968,0.292192
Q12879,0.11189796
Q86WV6,0.035401236
P07949,0.08194049
P08908,0.059334707
P01857,0.85078794
Q7Z3C6,0.040571727
O75581,0.95042294
P63027,0.01921201
Q04671,0.03172888
Q14BN4,0.021562027
P15529,0.76715523
Q8TEM1,0.13916695
P00533,0.81981504
P21802,0.7658446
P08247,0.05517189
Q14739,0.38720077
P29317,0.49549195
P17948,0.3466143
P05556,0.85646194
P10747,0.061386064
Q16635,0.02225625
P61073,0.06537513
Q15303,0.83229786
O00254,0.11180952
Q9Y624,0.689075
P31645,0.06797
P49146,0.10563841
P15954,0.12127127
P13569,0.060139343
