Rank,UniProt_ID,STRING_ID,Protein_Names,pLLPS_Score
1,Q9C0A1,ZFHX2_HUMAN,Zinc finger homeobox protein 2 (Zinc finger homeodomain protein 2) (ZFH-2),1.0
2,Q96T58,MINT_HUMAN,Msx2-interacting protein (SMART/HDAC1-associated repressor protein) (SPEN homolog),1.0
3,Q5VUA4,ZN318_HUMAN,Zinc finger protein 318 (Endocrine regulatory protein),1.0
4,Q5T1R4,ZEP3_HUMAN,Transcription factor HIVEP3 (Human immunodeficiency virus type I enhancer-binding protein 3) (Kappa-B and V(D)J recombination signal sequences-binding protein) (Kappa-binding protein 1) (KBP-1) (Zinc finger protein ZAS3),1.0
5,Q15911,ZFHX3_HUMAN,Zinc finger homeobox protein 3 (AT motif-binding factor 1) (AT-binding transcription factor 1) (Alpha-fetoprotein enhancer-binding protein) (Zinc finger homeodomain protein 3) (ZFH-3),1.0
6,Q9UGU0,TCF20_HUMAN,Transcription factor 20 (TCF-20) (Nuclear factor SPBP) (Protein AR1) (Stromelysin-1 PDGF-responsive element-binding protein) (SPRE-binding protein),1.0
7,E9PAV3,NACAM_HUMAN,"Nascent polypeptide-associated complex subunit alpha, muscle-specific form (Alpha-NAC, muscle-specific form) (skNAC)",1.0
8,Q9BTC0,DIDO1_HUMAN,Death-inducer obliterator 1 (DIO-1) (hDido1) (Death-associated transcription factor 1) (DATF-1),1.0
9,Q8IZD2,KMT2E_HUMAN,Inactive histone-lysine N-methyltransferase 2E (Inactive lysine N-methyltransferase 2E) (Myeloid/lymphoid or mixed-lineage leukemia protein 5),1.0
10,Q7Z591,AKNA_HUMAN,Microtubule organization protein AKNA (AT-hook-containing transcription factor),1.0
11,Q9Y467,SALL2_HUMAN,Sal-like protein 2 (Zinc finger protein 795) (Zinc finger protein SALL2) (Zinc finger protein Spalt-2) (Sal-2) (hSal2),1.0
12,Q9ULD9,ZN608_HUMAN,Zinc finger protein 608 (Renal carcinoma antigen NY-REN-36),1.0
13,Q8IWI9,MGAP_HUMAN,MAX gene-associated protein (MAX dimerization protein 5),1.0
14,Q7Z5J4,RAI1_HUMAN,Retinoic acid-induced protein 1,1.0
15,P31629,ZEP2_HUMAN,Transcription factor HIVEP2 (Human immunodeficiency virus type I enhancer-binding protein 2) (HIV-EP2) (MHC-binding protein 2) (MBP-2),1.0
16,P15923,TFE2_HUMAN,Transcription factor E2-alpha (Class B basic helix-loop-helix protein 21) (bHLHb21) (Immunoglobulin enhancer-binding factor E12/E47) (Immunoglobulin transcription factor 1) (Kappa-E2-binding factor) (Transcription factor 3) (TCF-3) (Transcription factor ITF-1),1.0
17,O94916,NFAT5_HUMAN,Nuclear factor of activated T-cells 5 (NF-AT5) (T-cell transcription factor NFAT5) (Tonicity-responsive enhancer-binding protein) (TonE-binding protein) (TonEBP),1.0
18,A6H8Y1,BDP1_HUMAN,Transcription factor TFIIIB component B'' homolog (Transcription factor IIIB 150) (TFIIIB150) (Transcription factor-like nuclear regulator),1.0
19,O15534,PER1_HUMAN,Period circadian protein homolog 1 (hPER1) (Circadian clock protein PERIOD 1) (Circadian pacemaker protein Rigui),1.0
20,Q9P1Z0,ZBTB4_HUMAN,Zinc finger and BTB domain-containing protein 4 (KAISO-like zinc finger protein 1) (KAISO-L1),1.0
21,Q09472,EP300_HUMAN,Histone acetyltransferase p300 (p300 HAT) (EC 2.3.1.48) (E1A-associated protein p300) (Histone butyryltransferase p300) (EC 2.3.1.-) (Histone crotonyltransferase p300) (EC 2.3.1.-) (Protein 2-hydroxyisobutyryltransferase p300) (EC 2.3.1.-) (Protein propionyltransferase p300) (EC 2.3.1.-),1.0
22,O15014,ZN609_HUMAN,Zinc finger protein 609,1.0
23,O00268,TAF4_HUMAN,Transcription initiation factor TFIID subunit 4 (RNA polymerase II TBP-associated factor subunit C) (TBP-associated factor 4) (Transcription initiation factor TFIID 130 kDa subunit) (TAF(II)130) (TAFII-130) (TAFII130) (Transcription initiation factor TFIID 135 kDa subunit) (TAF(II)135) (TAFII-135) (TAFII135),1.0
24,Q96Q04,LMTK3_HUMAN,Serine/threonine-protein kinase LMTK3 (EC 2.7.11.1) (Lemur tyrosine kinase 3),1.0
25,Q99081,HTF4_HUMAN,Transcription factor 12 (TCF-12) (Class B basic helix-loop-helix protein 20) (bHLHb20) (DNA-binding protein HTF4) (E-box-binding protein) (Transcription factor HTF-4),1.0
26,P15884,ITF2_HUMAN,Transcription factor 4 (TCF-4) (Class B basic helix-loop-helix protein 19) (bHLHb19) (Immunoglobulin transcription factor 2) (ITF-2) (SL3-3 enhancer factor 2) (SEF-2),1.0
