UniProt_ID,Entry_name,weighted_mean_rank,rank_sd,TMD_count,Length,leakage_any,TMD_class,role,LLPS_mode,evidence_in_vivo,evidence_in_vitro,is_Receptor,is_Ion Channel,is_Transporter,is_Hydrolase,is_GPCR,is_Transferase,is_Adhesion,is_Receptor Tyrosine Kinase,is_Kinase,functional_groups,locations
Q13021,MALL_HUMAN,0.8288700850230565,0.2136423422509603,4,153,False,multi,unclear,unclear,False,False,False,False,False,False,False,False,False,False,False,Structural,Membrane
P49146,NPY2R_HUMAN,0.8201553572924258,0.1795679965718778,7,381,False,multi,driver,unclear,False,False,True,False,False,False,True,False,False,False,False,GPCR;Receptor,Cell membrane
Q16635,TAZ_HUMAN,0.7923354647782197,0.1378994175399537,1,292,False,single,client,both,False,False,False,False,False,False,False,True,False,False,False,Transferase,Mitochondrion outer membrane;Mitochondrion inner membrane;Mitochondrion membrane;Cytoplasm
O00254,PAR3_HUMAN,0.789662296636179,0.2124302045438491,7,374,False,multi,driver,autonomous,False,False,True,False,False,True,True,False,False,False,False,GPCR;Hydrolase;Receptor,Cell membrane
Q9H3U5,MFSD1_HUMAN,0.7805485559743571,0.2444586405731342,12,465,False,multi,driver,autonomous,False,True,False,False,True,False,False,False,False,False,False,Transporter,Lysosome membrane
P15954,COX7C_HUMAN,0.7244041250329805,0.322250422848616,1,63,False,single,driver,partner_dependent,False,False,False,False,False,False,False,False,False,False,False,,Mitochondrion inner membrane
Q9UJA2,CRLS1_HUMAN,0.7179692472241602,0.2739574656730573,5,301,False,multi,both,both,False,False,False,False,False,False,False,True,False,False,False,Transferase,Mitochondrion inner membrane
P10747,CD28_HUMAN,0.7112750408176017,0.2210792288574848,1,220,False,single,unclear,partner_dependent,False,True,True,False,False,False,False,False,False,False,False,Receptor,Cell membrane;Cell surface
Q03135,CAV1_HUMAN,0.6963499354606322,0.2512838427801656,1,178,False,single,driver,both,False,False,False,False,False,False,False,False,False,False,False,,Golgi apparatus membrane;Cell membrane;Caveola;Membrane raft;trans-Golgi network;Cytoplasm
P31645,SC6A4_HUMAN,0.6917155696886902,0.1817409731162536,12,630,False,multi,driver,autonomous,False,False,False,True,True,False,False,False,True,False,False,Ion Channel;Transporter;Adhesion,Cell membrane;Endomembrane system;Endosome membrane;Synapse;Focal adhesion;Neuron projection
