Rank,UniProt_ID,STRING_ID,Protein_Names,pLLPS_Score
1,P46379,BAG6_HUMAN,Large proline-rich protein BAG6 (BAG family molecular chaperone regulator 6) (BCL2-associated athanogene 6) (BAG-6) (HLA-B-associated transcript 3) (Protein G3) (Protein Scythe),1.0
2,P30414,NKTR_HUMAN,NK-tumor recognition protein (NK-TR protein) (Natural-killer cells cyclophilin-related protein) (Peptidyl-prolyl cis-trans isomerase NKTR) (PPIase) (EC 5.2.1.8) (Rotamase),1.0
3,Q68D10,SPT2_HUMAN,Protein SPT2 homolog (Protein KU002155) (SPT2 domain-containing protein 1),1.0
4,Q9UMS6,SYNP2_HUMAN,Synaptopodin-2 (Genethonin-2) (Myopodin),1.0
5,Q5VY09,IER5_HUMAN,Immediate early response gene 5 protein,1.0
6,O75190,DNJB6_HUMAN,DnaJ homolog subfamily B member 6 (HHDJ1) (Heat shock protein J2) (HSJ-2) (MRJ) (MSJ-1),1.0
7,O95817,BAG3_HUMAN,BAG family molecular chaperone regulator 3 (BAG-3) (Bcl-2-associated athanogene 3) (Bcl-2-binding protein Bis) (Docking protein CAIR-1),1.0
8,P56524,HDAC4_HUMAN,Histone deacetylase 4 (HD4) (EC 3.5.1.98),1.0
9,Q9UER7,DAXX_HUMAN,Death domain-associated protein 6 (Daxx) (hDaxx) (ETS1-associated protein 1) (EAP1) (Fas death domain-associated protein),1.0
10,Q13427,PPIG_HUMAN,Peptidyl-prolyl cis-trans isomerase G (PPIase G) (Peptidyl-prolyl isomerase G) (EC 5.2.1.8) (CASP10) (Clk-associating RS-cyclophilin) (CARS-Cyp) (CARS-cyclophilin) (SR-cyclophilin) (SR-cyp) (SRcyp) (Cyclophilin G) (Rotamase G),1.0
11,O95429,BAG4_HUMAN,BAG family molecular chaperone regulator 4 (BAG-4) (Bcl-2-associated athanogene 4) (Silencer of death domains),1.0
12,Q15906,VPS72_HUMAN,Vacuolar protein sorting-associated protein 72 homolog (Protein YL-1) (Transcription factor-like 1),1.0
13,Q86V81,THOC4_HUMAN,THO complex subunit 4 (Tho4) (Ally of AML-1 and LEF-1) (Aly/REF export factor) (Transcriptional coactivator Aly/REF) (bZIP-enhancing factor BEF),1.0
14,Q92574,TSC1_HUMAN,Hamartin (Tuberous sclerosis 1 protein),0.99
15,Q9P278,FNIP2_HUMAN,Folliculin-interacting protein 2 (FNIP1-like protein) (O6-methylguanine-induced apoptosis 1 protein),0.99
16,Q16637,SMN_HUMAN,Survival motor neuron protein (Component of gems 1) (Gemin-1),0.99
17,Q00613,HSF1_HUMAN,Heat shock factor protein 1 (HSF 1) (Heat shock transcription factor 1) (HSTF 1),0.99
18,Q9BTT0,AN32E_HUMAN,Acidic leucine-rich nuclear phosphoprotein 32 family member E (LANP-like protein) (LANP-L),0.99
19,P25686,DNJB2_HUMAN,DnaJ homolog subfamily B member 2 (Heat shock 40 kDa protein 3) (Heat shock protein J1) (HSJ-1),0.98
20,O15173,PGRC2_HUMAN,Membrane-associated progesterone receptor component 2 (Progesterone membrane-binding protein) (Steroid receptor protein DG6),0.98
21,P40855,PEX19_HUMAN,Peroxisomal biogenesis factor 19 (33 kDa housekeeping protein) (Peroxin-19) (Peroxisomal farnesylated protein),0.97
22,Q86SE8,NPM2_HUMAN,Nucleoplasmin-2,0.97
23,Q8NCD3,HJURP_HUMAN,Holliday junction recognition protein (14-3-3-associated AKT substrate) (Fetal liver-expressing gene 1 protein) (Up-regulated in lung cancer 9),0.97
24,Q9UBN7,HDAC6_HUMAN,Histone deacetylase 6 (HD6) (EC 3.5.1.98) (Tubulin-lysine deacetylase HDAC6) (EC 3.5.1.-),0.96
25,Q9UJY1,HSPB8_HUMAN,Heat shock protein beta-8 (HspB8) (Alpha-crystallin C chain) (E2-induced gene 1 protein) (Protein kinase H11) (Small stress protein-like protein HSP22),0.96
26,Q5F1R6,DJC21_HUMAN,DnaJ homolog subfamily C member 21 (DnaJ homolog subfamily A member 5) (Protein GS3),0.96
27,P06748,NPM_HUMAN,Nucleophosmin (NPM) (Nucleolar phosphoprotein B23) (Nucleolar protein NO38) (Numatrin),0.95
28,Q14696,MESD_HUMAN,LRP chaperone MESD (LDLR chaperone MESD) (Mesoderm development LRP chaperone MESD) (Mesoderm development candidate 2) (Mesoderm development protein) (Renal carcinoma antigen NY-REN-61),0.94
29,Q96A04,TSACC_HUMAN,TSSK6-activating co-chaperone protein (SSTK-interacting protein) (SSTK-IP),0.93
30,Q9UBS3,DNJB9_HUMAN,DnaJ homolog subfamily B member 9 (Endoplasmic reticulum DNA J domain-containing protein 4) (ER-resident protein ERdj4) (ERdj4) (Microvascular endothelial differentiation gene 1 protein) (Mdg-1),0.92
31,P50502,F10A1_HUMAN,Hsc70-interacting protein (Hip) (Aging-associated protein 2) (Progesterone receptor-associated p48 protein) (Protein FAM10A1) (Putative tumor suppressor ST13) (Renal carcinoma antigen NY-REN-33) (Suppression of tumorigenicity 13 protein),0.92
32,Q99543,DNJC2_HUMAN,"DnaJ homolog subfamily C member 2 (M-phase phosphoprotein 11) (Zuotin-related factor 1) [Cleaved into: DnaJ homolog subfamily C member 2, N-terminally processed]",0.91
33,Q9NXW2,DJB12_HUMAN,DnaJ homolog subfamily B member 12,0.9
34,O95155,UBE4B_HUMAN,Ubiquitin conjugation factor E4 B (EC 2.3.2.27) (Homozygously deleted in neuroblastoma 1) (RING-type E3 ubiquitin transferase E4 B) (Ubiquitin fusion degradation protein 2),0.9
35,P09429,HMGB1_HUMAN,High mobility group protein B1 (High mobility group protein 1) (HMG-1),0.89
36,Q99933,BAG1_HUMAN,BAG family molecular chaperone regulator 1 (BAG-1) (Bcl-2-associated athanogene 1),0.89
37,P55789,ALR_HUMAN,FAD-linked sulfhydryl oxidase ALR (EC 1.8.3.2) (Augmenter of liver regeneration) (hERV1) (Hepatopoietin),0.88
38,P54252,ATX3_HUMAN,Ataxin-3 (EC 3.4.19.12) (Machado-Joseph disease protein 1) (Spinocerebellar ataxia type 3 protein),0.88
39,Q9BUR4,TCAB1_HUMAN,Telomerase Cajal body protein 1 (WD repeat-containing protein 79) (WD40 repeat-containing protein antisense to TP53 gene) (WRAP53beta),0.88
40,O00264,PGRC1_HUMAN,Membrane-associated progesterone receptor component 1 (mPR) (Dap1) (IZA),0.88
41,Q9BWH6,RPAP1_HUMAN,RNA polymerase II-associated protein 1,0.87
42,Q9BQS6,HSPB9_HUMAN,Heat shock protein beta-9 (HspB9) (Cancer/testis antigen 51) (CT51),0.86
43,O00233,PSMD9_HUMAN,26S proteasome non-ATPase regulatory subunit 9 (26S proteasome regulatory subunit p27),0.82
44,P54105,ICLN_HUMAN,"Methylosome subunit pICln (Chloride channel, nucleotide sensitive 1A) (Chloride conductance regulatory protein ICln) (I(Cln)) (Chloride ion current inducer protein) (ClCI) (Reticulocyte pICln)",0.81
45,O43765,SGTA_HUMAN,Small glutamine-rich tetratricopeptide repeat-containing protein alpha (Alpha-SGT) (Vpu-binding protein) (UBP),0.8
46,P27797,CALR_HUMAN,Calreticulin (CRP55) (Calregulin) (Endoplasmic reticulum resident protein 60) (ERp60) (HACBP) (grp60),0.8
47,Q16082,HSPB2_HUMAN,Heat shock protein beta-2 (HspB2) (DMPK-binding protein) (MKBP),0.8
48,Q99733,NP1L4_HUMAN,Nucleosome assembly protein 1-like 4 (Nucleosome assembly protein 2) (NAP-2),0.79
49,Q8TF40,FNIP1_HUMAN,Folliculin-interacting protein 1,0.79
50,Q8TBM8,DJB14_HUMAN,DnaJ homolog subfamily B member 14,0.79
51,Q14061,COX17_HUMAN,Cytochrome c oxidase copper chaperone,0.77
