Entry,Entry name,p(LLPS),pLLPS_Class,TMD_count,Length,Functional_Categories,Compartment,PICNIC_score,PICNIC_GO_score,PSAP_score,PSPHunter_prob,PSPire_score,PSPire_includes_IDRs,PSPspredict_PDL,PSPspredict_catGRANULE,PSPspredict_PLAAC,PSPspredict_PScore,PSPspredict_ESpritz_DisProt,PSPspredict_SEG,PSPspredict_DeepPhase,PSPspredict_SaPS_10fea,PSPspredict_PdPS_10fea,PSPspredict_Psphunter,PSPspredict_PSPire
P15941,MUC1_HUMAN,1.0,High,1,1255,[],nucleus,0.5785296345000001,0.5411850709,0.001666667,0.64,0.14811698,Yes,0.8432403,0.636171779141104,0.861993969650536,0.934768427919112,0.930159509202453,0.417325153374233,,0.842650306748466,0.513276073619631,0.64,0.198781177401542
Q7Z434,MAVS_HUMAN,1.0,High,1,540,[],mitochondrion,0.3417054212,0.3719084584,0.008333333,0.795,0.97495615,Yes,0.22459128,0.50041717791411,0.789234343334486,0.785007610350076,0.831754601226993,0.817521472392638,0.403524968527066,0.898208588957055,0.921815950920245,0.795,0.982102215290069
Q9BR39,JPH2_HUMAN,1.0,High,1,696,['Transcription Factor'],nucleus,0.7654327439,0.5621715362,0.0075,0.677,0.5504534,Yes,0.83787763,0.978110429447852,0.94162424002768,0.961730811045879,0.853938650306748,0.92240490797546,,0.968196319018404,0.862184049079754,0.677,0.982243180274963
O43561,LAT_HUMAN,1.0,High,1,262,[],Golgi apparatus,0.3832165678,0.5234676667,,0.785,0.8835028,Yes,0.13425925,0.221791411042944,0.786416884978498,0.861980865405523,0.817914110429447,0.948564417177914,0.491313470415442,0.854233128834355,0.993963190184049,0.785,0.974634289741516
P31431,SDC4_HUMAN,1.0,High,1,198,['Receptor'],plasma membrane,0.388778526,0.7115716514,0.0,0.207,0.02247028,No,0.067893796,0.615263803680981,0.035638376748554,0.711024135681669,4.9079754601227e-05,0.809374233128834,0.446663869072597,0.443730061349693,0.664343558282208,0.207,0.021769318729639
O75445,USH2A_HUMAN,0.98,High,1,5202,[],extracellular region,0.1711297,0.0767009046,,0.607,0.1819633,No,0.6192894,0.952343558282208,0.905985863279126,0.907914764079147,4.9079754601227e-05,0.208539877300613,,0.805742331288343,0.424343558282208,0.607,
Q9UM73,ALK_HUMAN,0.97,High,1,1620,"['Receptor Tyrosine Kinase', 'Kinase', 'Transferase', 'Receptor']",plasma membrane,0.3597359203,0.9039928255,0.000833333,0.749,0.72956294,Yes,0.23372291,0.961766871165644,0.829271909445899,0.980267449445531,0.515877300613496,0.651386503067484,0.585228703315149,0.81683435582822,0.599803680981595,0.749,0.952414631843566
Q9H461,FZD8_HUMAN,0.94,High,7,694,"['GPCR', 'Receptor']",Golgi apparatus,0.0801331697,0.0894939003,0.000833333,0.501,0.0016049944,Yes,0.5680879,0.950920245398773,0.955612673619692,0.989073711676451,0.653742331288343,0.905815950920245,0.170037767519932,0.869595092024539,0.385325153374233,0.501,0.0011336824391037
O14763,TR10B_HUMAN,0.93,High,1,440,['Receptor'],plasma membrane,0.4304014178,0.2870047146,0.003333333,0.512,0.005453388,Yes,0.18987988,0.475680981595092,0.347783105135682,0.615677321156773,0.659239263803681,0.852564417177914,,0.135558282208588,0.214723926380368,0.512,0.0255585554987192
P46531,NOTC1_HUMAN,0.93,High,1,2555,['Receptor'],extracellular region,0.1535407927,0.2245633972,0.001666667,0.743,0.03198308,Yes,0.94605476,0.952196319018405,0.992684494093223,0.955044574907588,0.563042944785276,0.577865030674846,0.208476710029374,0.905766871165644,0.862233128834355,0.743,0.0149847920984029
Q8N114,SHSA5_HUMAN,0.86,High,1,240,[],endoplasmic reticulum,0.0353312183,0.0413076915,0.000833333,0.268,0.0060578524,Yes,0.111964665,0.030576687116564,0.985270129998517,0.95221787345075,0.537717791411042,0.978552147239263,,0.958282208588957,0.739582822085889,0.268,0.0096855638548731
Q07065,CKAP4_HUMAN,0.85,High,1,602,[],mitochondrion,0.8507573909,0.9447702764,0.004166667,0.803,0.75943923,Yes,0.7105539,0.83042944785276,0.98561613365627,0.957762557077625,0.735165644171779,0.890453987730061,0.739823751573646,0.99921472392638,0.967018404907975,0.803,0.670287489891052
P08172,ACM2_HUMAN,0.82,High,7,466,"['GPCR', 'Receptor']",nucleolus,0.2188307225,0.1227573668,0.000833333,0.262,0.05264176,Yes,0.18099809,0.261006134969325,0.57140032623202,0.306534029136768,4.9079754601227e-05,0.48961963190184,,0.762944785276073,0.514944785276073,0.262,0.0555135421454906
Q08345,DDR1_HUMAN,0.81,High,1,913,"['Receptor Tyrosine Kinase', 'Kinase', 'Transferase', 'Receptor', 'Adhesion']",plasma membrane,0.2617370626,0.7716558811,0.0,0.49,0.092777506,Yes,0.49380827,0.833128834355828,0.855024467401512,0.816644922809306,4.9079754601227e-05,0.808098159509202,0.367771716323961,0.570061349693251,0.66483435582822,0.49,0.116858422756195
O60500,NPHN_HUMAN,0.79,High,1,1241,['Adhesion'],plasma membrane,0.2428889741,0.1194671032,0.0,0.816,0.19236472,Yes,0.38799757,0.783263803680981,0.693539617418812,0.714231354642313,4.9079754601227e-05,0.58041717791411,,0.014773006134969,0.909104294478527,0.816,0.953405499458313
P05067,A4_HUMAN,0.75,High,1,770,['Adhesion'],extracellular region,0.769808888,0.9115391104,0.0,0.922,0.8443614,Yes,0.9060831,0.52,0.256190994019079,0.870895846923244,4.9079754601227e-05,0.805644171779141,0.57859840537138,0.425276073619631,0.592392638036809,0.922,0.971359848976135
Q8WXG9,AGRV1_HUMAN,0.74,High,7,6306,"['GPCR', 'Hydrolase', 'Receptor', 'Adhesion']",plasma membrane,0.5305456419,0.3111176325,,0.556,0.022319196,Yes,,,,,,,,,,,
P11362,FGFR1_HUMAN,0.69,Medium,1,822,"['Receptor Tyrosine Kinase', 'Kinase', 'Transferase', 'Receptor']",extracellular region,0.6645710642,0.9266439739,0.0,0.76,0.47035217,Yes,0.92361313,0.583411042944785,0.304928080668281,0.62138508371385,0.594895705521472,0.403092024539877,0.79026437263953,0.79322699386503,0.761815950920245,0.76,0.962527453899383
Q8NC56,LEMD2_HUMAN,0.68,Medium,2,503,[],nuclear envelope,0.2363709607,0.103006874,,0.346,0.9496786,Yes,0.20023857,0.360441717791411,0.665019030201176,0.648727984344422,0.778993865030674,0.930110429447852,0.744691565253881,0.975361963190184,0.931092024539877,0.346,0.977723300457
P40967,PMEL_HUMAN,0.68,Medium,1,661,[],endoplasmic reticulum,0.196225374,0.0732124528,0.000833333,0.526,0.89362746,Yes,0.12667523,0.464736196319018,0.777865651722603,0.70075016307893,4.9079754601227e-05,0.520049079754601,,0.441374233128834,0.027779141104294,0.526,0.95143049955368
P07766,CD3E_HUMAN,0.64,Medium,1,207,['Receptor'],endoplasmic reticulum,0.164514824,0.3334278235,0.0025,0.214,0.061977915,No,0.08398447,0.861398773006135,0.526320992536206,0.322570123939986,0.820907975460122,0.443141104294478,,0.597349693251533,0.676220858895705,0.214,0.0514188185334205
P20963,CD3Z_HUMAN,0.57,Medium,1,164,['Receptor'],Golgi apparatus,0.3123967122,0.4840543155,0.000833333,0.557,0.7059225,No,0.27302536,0.685742331288343,0.560130492808066,0.018482278756251,0.914110429447852,4.9079754601227e-05,,0.910576687116564,0.86360736196319,0.557,0.705922484397888
P04626,ERBB2_HUMAN,0.53,Medium,1,1255,"['Receptor Tyrosine Kinase', 'Kinase', 'Transferase', 'Receptor']",nucleus,0.392907963,0.9582996305,0.000833333,0.722,0.97369987,Yes,0.57638264,0.700368098159509,0.711334091246107,0.870352250489236,0.690748466257668,0.519411042944785,0.688292068820814,0.881079754601227,0.755533742331288,0.722,0.986435115337371
O75460,ERN1_HUMAN,0.52,Medium,1,977,"['Kinase', 'Transferase', 'Hydrolase', 'Chaperone', 'RNA Processing']",mitochondrion,0.7630394757000001,0.9830522498,0.0,0.274,0.13928577,Yes,0.2746446,0.652220858895705,0.898868073748208,0.746738421395955,4.9079754601227e-05,0.612564417177914,,0.656490797546012,0.59401226993865,0.274,0.0547319278120994
P35968,VGFR2_HUMAN,0.51,Medium,1,1356,"['Receptor Tyrosine Kinase', 'Kinase', 'Transferase', 'Receptor']",extracellular region,0.7550936052,0.9323550167,0.0,0.692,0.8592192,Yes,0.4420609,0.79042944785276,0.332262369630764,0.51842791911285,0.605006134969325,0.27842944785276,0.114981116240033,0.11803680981595,0.584196319018404,0.692,0.958085358142852
Q12879,NMDE1_HUMAN,0.5,Medium,4,1464,"['Ion Channel', 'Transporter', 'Receptor']",plasma membrane,0.5079130691,0.2602143113,0.000833333,0.406,0.21759966,Yes,0.20490889,0.882601226993865,0.881815036330384,0.603283322461404,4.9079754601227e-05,0.23361963190184,,0.662282208588957,0.827582822085889,0.406,0.212021350860595
Q86WV6,STING_HUMAN,0.49,Medium,4,379,"['Ion Channel', 'Transporter']",nucleoplasm,0.0673172323,0.1086805273,0.0,0.031,0.7079318,Yes,0.06642537,0.252171779141104,0.5088230932727,0.123396390519678,0.655411042944785,0.587828220858895,,0.328638036809815,0.122650306748466,0.031,0.925766825675964
P07949,RET_HUMAN,0.46,Medium,1,1114,"['Receptor Tyrosine Kinase', 'Kinase', 'Transferase', 'Receptor', 'Adhesion']",plasma membrane,0.2879960374,0.8939286407,0.0,0.555,0.91190875,Yes,0.23649363,0.708907975460122,0.593939993079926,0.937866927592955,4.9079754601227e-05,0.35563190184049,0.199664288711707,0.680147239263803,0.734282208588957,0.555,0.98181265592575
P08908,5HT1A_HUMAN,0.45,Medium,7,422,"['GPCR', 'Receptor']",plasma membrane,0.4170778534,0.0921235735,0.0,0.68,0.8727934,Yes,0.26355502,0.319361963190184,0.342988483021106,0.6838443139813,4.9079754601227e-05,0.261006134969325,,0.40642944785276,0.218110429447852,0.68,0.927753925323486
P01857,IGHG1_HUMAN,0.43,Medium,1,330,[],extracellular region,0.5233330433,0.3389780551,,0.688,0.37336266,No,0.8466357,0.41320245398773,0.602194651772033,0.561154598825831,4.9079754601227e-05,0.36961963190184,,0.788466257668711,0.80760736196319,0.688,0.98456871509552
Q7Z3C6,ATG9A_HUMAN,0.42,Medium,8,839,['Transporter'],mitochondrion,0.069750691,0.056589452,0.000833333,0.463,0.0078108557,Yes,0.07115102,0.4600245398773,0.697938806781671,0.931289410741465,0.644319018404908,0.576441717791411,0.608140998741082,0.752147239263803,0.428907975460122,0.463,0.0066938148811459
O75581,LRP6_HUMAN,0.42,Medium,1,1613,"['Transporter', 'Receptor', 'Adhesion']",extracellular region,0.3626361058,0.1679332333,0.0,0.632,0.56313956,Yes,0.92131233,0.836368098159509,0.886906233008748,0.940204392259186,0.579484662576687,0.462576687116564,,0.816736196319018,0.690355828220859,0.632,0.54847776889801
P63027,VAMP2_HUMAN,0.4,Low,1,116,[],cytosol,0.3293824143,0.1218503367,0.000833333,0.372,0.091656424,No,0.94790345,0.048785276073619,0.363896989768177,,0.941447852760736,0.954110429447852,,0.588711656441717,0.479754601226993,0.372,0.0916564241051673
O60733,PLPL9_HUMAN,0.38,Low,2,806,['Hydrolase'],mitochondrion,0.5664662817,0.399266885,0.0,0.3,0.095477454,Yes,0.07689765,0.675533742331288,0.79714299836884,0.184714068275712,4.9079754601227e-05,4.9079754601227e-05,0.904825849769198,0.301398773006135,0.289766871165644,0.3,0.0843325778841972
Q04671,P_HUMAN,0.37,Low,12,838,"['Ion Channel', 'Transporter']",Other,0.0756650948,0.0351939545,0.0,0.164,0.00041875648,Yes,0.037596446,0.265865030674846,0.634323562849093,0.595346814524896,0.624196319018404,0.726282208588957,,0.464441717791411,0.018208588957055,0.164,0.0004599345847964
Q14BN4,SLMAP_HUMAN,0.37,Low,2,828,[],endoplasmic reticulum,0.6384488869,0.4659361981,0.0,0.572,0.58318293,Yes,0.79843414,0.475779141104294,0.290494785230586,0.399162861491628,4.9079754601227e-05,0.42880981595092,0.574402014267729,0.15401226993865,0.576932515337423,0.572,0.475735485553741
P15529,MCP_HUMAN,0.35,Low,1,392,[],plasma membrane,0.2376365743,0.1220824125,0.0,0.326,0.0045261797,Yes,0.40443537,0.355582822085889,0.534180218476595,0.640193520330506,4.9079754601227e-05,0.816343558282208,0.524129248845992,0.084466257668711,0.087705521472392,0.326,0.002218049718067
Q8TEM1,PO210_HUMAN,0.31,Low,1,1887,[],nuclear envelope,0.4330318644,0.2007567422,0.0,0.645,0.08759173,Yes,0.18415655,0.687312883435582,0.747120755276555,0.426179604261796,0.53560736196319,0.288098159509202,,0.432441717791411,0.387092024539877,0.645,0.0519249513745307
