UniProt_ID,Entry_name,mean_rank,weighted_mean_rank,rank_sd,TMD_count,Length,leakage_any,TMD_class,role,LLPS_mode,evidence_in_vivo,evidence_in_vitro,is_Receptor,is_Ion Channel,is_Transporter,is_Hydrolase,is_GPCR,is_Transferase,is_Adhesion,is_Receptor Tyrosine Kinase,is_Kinase,functional_groups,locations
Q9BR39,JPH2_HUMAN,0.8366791194969545,0.8400529264094322,0.2276795878247861,1,696,True,single,driver,autonomous,False,False,False,False,False,False,False,False,False,False,False,Transcription Factor,Cell membrane;Sarcoplasmic reticulum membrane;Endoplasmic reticulum membrane;Nucleus
Q07065,CKAP4_HUMAN,0.8025714286488227,0.8214686294009506,0.227707474070537,1,602,True,single,driver,autonomous,True,True,False,False,False,False,False,False,False,False,False,,Endoplasmic reticulum membrane;Cell membrane;Cytoskeleton;Perinuclear region
P00533,EGFR_HUMAN,0.7701485045493628,0.7884804019074014,0.1938803378270403,1,1210,True,single,both,both,False,False,True,False,False,False,False,True,True,True,True,Receptor Tyrosine Kinase;Kinase;Transferase;Receptor;Adhesion,Cell membrane;Endoplasmic reticulum membrane;Golgi apparatus membrane;Nucleus membrane;Endosome;Endosome membrane;Nucleus;Secreted
P04626,ERBB2_HUMAN,0.7458482874533046,0.7519598749688198,0.1270106738668081,1,1255,True,single,unclear,partner_dependent,False,True,True,False,False,False,False,True,False,True,True,Receptor Tyrosine Kinase;Kinase;Transferase;Receptor,Cell membrane;Ruffle membrane;Early endosome;Perinuclear region;Nucleus;Cytoplasm
Q7Z434,MAVS_HUMAN,0.7200793243166125,0.7416508579566333,0.2771424318261372,1,540,True,single,both,autonomous,True,True,False,False,False,False,False,False,False,False,False,,Mitochondrion outer membrane;Mitochondrion;Peroxisome
Q9UM73,ALK_HUMAN,0.7138955093932946,0.7255037379638354,0.1986347002341116,1,1620,True,single,unclear,unclear,False,False,True,False,False,False,False,True,False,True,True,Receptor Tyrosine Kinase;Kinase;Transferase;Receptor,Cell membrane
O43561,LAT_HUMAN,0.6803499198274944,0.6992473289901402,0.2718003616808674,1,262,True,single,unclear,partner_dependent,False,False,False,False,False,False,False,False,False,False,False,,Cell membrane
P46531,NOTC1_HUMAN,0.684301168439407,0.697367475096969,0.3297280677360895,1,2555,False,single,driver,autonomous,True,True,True,False,False,False,False,False,False,False,False,Receptor,Cell membrane;Late endosome membrane;Nucleus
O75581,LRP6_HUMAN,0.6885577754337175,0.6848499437931923,0.1828734892276056,1,1613,False,single,driver,autonomous,False,False,True,False,True,False,False,False,True,False,False,Transporter;Receptor;Adhesion,Cell membrane;Endoplasmic reticulum;Membrane raft
Q15303,ERBB4_HUMAN,0.6521676765716877,0.670500605761617,0.2595603303089908,1,1308,True,single,unclear,partner_dependent,False,True,True,False,False,False,False,True,False,True,True,Receptor Tyrosine Kinase;Kinase;Transferase;Receptor,Cell membrane;Nucleus;Mitochondrion
P15941,MUC1_HUMAN,0.6562023192525515,0.6664574071963826,0.301227388731777,1,1255,False,single,unclear,unclear,True,False,False,False,False,False,False,False,False,False,False,,Apical cell membrane;Secreted;Cell membrane;Cytoplasm;Nucleus
Q8NC56,LEMD2_HUMAN,0.6504576848566658,0.6415793005408343,0.2796315589799923,2,503,True,multi,driver,autonomous,True,True,False,False,False,False,False,False,False,False,False,,Nucleus inner membrane;Nucleus envelope;Spindle
P21802,FGFR2_HUMAN,0.6273822843265151,0.640703199320322,0.244103261184867,1,821,True,single,unclear,partner_dependent,False,False,True,False,False,False,False,True,False,True,True,Receptor Tyrosine Kinase;Kinase;Transferase;Receptor,Cell membrane;Golgi apparatus;Cytoplasmic vesicle;Secreted
P11362,FGFR1_HUMAN,0.619247080534724,0.6293630508595076,0.2087239284821446,1,822,True,single,unclear,partner_dependent,False,True,True,False,False,False,False,True,False,True,True,Receptor Tyrosine Kinase;Kinase;Transferase;Receptor,Cell membrane;Nucleus;Cytosol;Cytoplasmic vesicle
Q08345,DDR1_HUMAN,0.614426566184541,0.6052099856908681,0.2062669736444696,1,913,False,single,driver,autonomous,False,False,True,False,False,False,False,True,True,True,True,Receptor Tyrosine Kinase;Kinase;Transferase;Receptor;Adhesion,Cell membrane;Secreted
