Rank,UniProt_ID,STRING_ID,Protein_Names,pLLPS_Score
1,Q5T8A7,PPR26_HUMAN,Protein phosphatase 1 regulatory subunit 26,1.0
2,Q5VZP5,DUS27_HUMAN,Inactive dual specificity phosphatase 27,1.0
3,O14974,MYPT1_HUMAN,Protein phosphatase 1 regulatory subunit 12A (Myosin phosphatase-targeting subunit 1) (Myosin phosphatase target subunit 1) (Protein phosphatase myosin-binding subunit),1.0
4,P98082,DAB2_HUMAN,Disabled homolog 2 (Adaptor molecule disabled-2) (Differentially expressed in ovarian carcinoma 2) (DOC-2) (Differentially-expressed protein 2),1.0
5,Q15735,PI5PA_HUMAN,"Phosphatidylinositol 4,5-bisphosphate 5-phosphatase A (EC 3.1.3.56) (Inositol polyphosphate 5-phosphatase J)",1.0
6,Q6ZSY5,PPR3F_HUMAN,Protein phosphatase 1 regulatory subunit 3F (R3F),1.0
7,Q96QC0,PP1RA_HUMAN,Serine/threonine-protein phosphatase 1 regulatory subunit 10 (MHC class I region proline-rich protein CAT53) (PP1-binding protein of 114 kDa) (Phosphatase 1 nuclear targeting subunit) (Protein FB19) (p99),1.0
8,Q8TEW0,PARD3_HUMAN,Partitioning defective 3 homolog (PAR-3) (PARD-3) (Atypical PKC isotype-specific-interacting protein) (ASIP) (CTCL tumor antigen se2-5) (PAR3-alpha),1.0
9,Q8IZ21,PHAR4_HUMAN,Phosphatase and actin regulator 4,1.0
10,Q69YH5,CDCA2_HUMAN,Cell division cycle-associated protein 2 (Recruits PP1 onto mitotic chromatin at anaphase protein) (Repo-Man),1.0
11,Q92540,SMG7_HUMAN,Protein SMG7 (EST1-like protein C) (SMG-7 homolog) (hSMG-7),1.0
12,Q5VY09,IER5_HUMAN,Immediate early response gene 5 protein,1.0
13,Q12923,PTN13_HUMAN,Tyrosine-protein phosphatase non-receptor type 13 (EC 3.1.3.48) (Fas-associated protein-tyrosine phosphatase 1) (FAP-1) (PTP-BAS) (Protein-tyrosine phosphatase 1E) (PTP-E1) (hPTPE1) (Protein-tyrosine phosphatase PTPL1),1.0
14,Q8WYL5,SSH1_HUMAN,Protein phosphatase Slingshot homolog 1 (EC 3.1.3.16) (EC 3.1.3.48) (SSH-like protein 1) (SSH-1L) (hSSH-1L),1.0
15,Q9BZL4,PP12C_HUMAN,Protein phosphatase 1 regulatory subunit 12C (Protein phosphatase 1 myosin-binding subunit of 85 kDa) (Protein phosphatase 1 myosin-binding subunit p85),1.0
16,O75807,PR15A_HUMAN,Protein phosphatase 1 regulatory subunit 15A (Growth arrest and DNA damage-inducible protein GADD34) (Myeloid differentiation primary response protein MyD116 homolog),1.0
17,O60237,MYPT2_HUMAN,Protein phosphatase 1 regulatory subunit 12B (Myosin phosphatase-targeting subunit 2) (Myosin phosphatase target subunit 2),1.0
18,O94842,TOX4_HUMAN,TOX high mobility group box family member 4 (Epidermal Langerhans cell protein LCP1),1.0
19,Q96SB3,NEB2_HUMAN,Neurabin-2 (Neurabin-II) (Protein phosphatase 1 regulatory subunit 9B) (Spinophilin),1.0
20,Q16821,PPR3A_HUMAN,Protein phosphatase 1 regulatory subunit 3A (Protein phosphatase 1 glycogen-associated regulatory subunit) (Protein phosphatase type-1 glycogen targeting subunit) (RG1),1.0
21,P23471,PTPRZ_HUMAN,Receptor-type tyrosine-protein phosphatase zeta (R-PTP-zeta) (EC 3.1.3.48) (Protein-tyrosine phosphatase receptor type Z polypeptide 1) (Protein-tyrosine phosphatase receptor type Z polypeptide 2) (R-PTP-zeta-2),1.0
22,Q9NY27,PP4R2_HUMAN,Serine/threonine-protein phosphatase 4 regulatory subunit 2,1.0
