UniProt_ID,mean_rank,weighted_mean_rank,rank_sd,n_predictors,Entry_name,p(LLPS),pLLPS_Class,TMD_count,Length,Protein_Name,leakage_any
Q9BR39,0.8719791189844064,0.8781999864227356,0.22435013602137746,18,JPH2_HUMAN,1.0,High,1.0,696.0,Junctophilin-2 (JP-2) (Junctophilin type 2) [Cleaved into: Junctophilin-2 N-terminal fragment (JP2NT)],True
Q5TF21,0.86269459592459,0.8655340443166216,0.20684125523020208,18,SOGA3_HUMAN,1.0,High,1.0,947.0,Protein SOGA3,True
Q9Y2U8,0.8478721343616118,0.8466430604243964,0.15418002344970125,18,MAN1_HUMAN,1.0,High,2.0,911.0,Inner nuclear membrane protein Man1 (LEM domain-containing protein 3),True
Q07065,0.8267576883316914,0.843134643777207,0.23833064385534042,18,CKAP4_HUMAN,0.85,High,1.0,602.0,Cytoskeleton-associated protein 4 (63-kDa cytoskeleton-linking membrane protein) (Climp-63) (p63),True
Q86UE4,0.8154870710926221,0.8364430420998867,0.30791851536487175,18,LYRIC_HUMAN,1.0,High,1.0,582.0,Protein LYRIC (3D3/LYRIC) (Astrocyte elevated gene-1 protein) (AEG-1) (Lysine-rich CEACAM1 co-isolated protein) (Metadherin) (Metastasis adhesion protein),True
Q5JRA6,0.7985680879711315,0.8192588805276145,0.2813493613258566,17,TGO1_HUMAN,1.0,High,2.0,1907.0,Transport and Golgi organization protein 1 homolog (TANGO1) (C219-reactive peptide) (D320) (Melanoma inhibitory activity protein 3),False
Q9P2E9,0.7954991580996507,0.8170806393594873,0.3311871111287743,18,RRBP1_HUMAN,1.0,High,1.0,1410.0,Ribosome-binding protein 1 (180 kDa ribosome receptor homolog) (RRp) (ES/130-related protein) (Ribosome receptor protein),True
A8CG34,0.8016037529896948,0.8108805878617311,0.2996268918045396,18,P121C_HUMAN,1.0,High,1.0,1229.0,Nuclear envelope pore membrane protein POM 121C (Nuclear pore membrane protein 121-2) (POM121-2) (Pore membrane protein of 121 kDa C),True
P00533,0.7924827550878314,0.8082033439977042,0.19515574639692954,18,EGFR_HUMAN,0.28,Low,1.0,1210.0,Epidermal growth factor receptor (EC 2.7.10.1) (Proto-oncogene c-ErbB-1) (Receptor tyrosine-protein kinase erbB-1),True
Q92545,0.8033463733234023,0.8054349794199801,0.22559573721451817,18,TM131_HUMAN,0.99,High,1.0,1883.0,Transmembrane protein 131 (Protein RW1),True
