name,preds
P15941,0.88787663
Q7Z434,0.22593157
Q9BR39,0.8401745
O43561,0.13582149
P31431,0.068696655
O75445,0.28430972
Q9UM73,0.099303156
Q9H461,0.5734612
O14763,0.19124289
P46531,0.96779656
Q8N114,0.11355065
Q07065,0.71402234
P08172,0.1839648
Q08345,0.49852633
O60500,0.48673016
P05067,0.9075695
Q8WXG9,0.11129996
P11362,0.9250655
Q8NC56,0.20261855
P40967,0.12739854
P07766,0.08540745
P20963,0.28330112
P04626,0.6423938
O75460,0.2786886
P35968,0.3318139
Q12879,0.16951862
Q86WV6,0.06692143
P07949,0.22317226
P08908,0.27016664
P01857,0.850788
Q7Z3C6,0.071560405
O75581,0.9265166
P63027,0.9554291
O60733,0.077402525
Q04671,0.037658688
Q14BN4,0.801778
P15529,0.4117849
Q8TEM1,0.13466735
Q9UJA2,0.024671799
P00533,0.90025216
P21802,0.94804525
P08247,0.10000351
Q14739,0.123337016
P29317,0.9159892
P17948,0.35247022
P05556,0.86053747
P10747,0.0769251
Q16635,0.02180136
P61073,0.09447856
Q15303,0.93105394
O00254,0.06753297
Q9H3U5,0.02355725
Q9Y624,0.31647
P31645,0.075643994
P49146,0.08644462
P15954,0.019023936
P13569,0.08266905
Q9BRQ8,0.03584702
Q03135,0.03257356
Q13021,0.030617598
