name,preds
P15941,0.5772925
Q7Z434,0.21867576
Q9BR39,0.85105914
O43561,0.14469683
P31431,0.11207194
O75445,0.096761525
Q9UM73,0.87935144
Q9H461,0.22261664
O14763,0.111807
P46531,0.9353715
Q8N114,0.6063593
Q07065,0.86741966
P08172,0.37720844
Q08345,0.74263847
O60500,0.116315596
P05067,0.079322875
Q8WXG9,0.30481297
P11362,0.969355
P40967,0.037276376
P07766,0.5358921
P20963,0.5689668
P04626,0.73498505
O75460,0.60056067
P35968,0.57316655
Q12879,0.19530642
Q86WV6,0.082280554
P07949,0.9411933
P08908,0.30097714
Q7Z3C6,0.09566549
O75581,0.36232466
P63027,0.9160239
Q04671,0.064045236
Q14BN4,0.78058743
P15529,0.050280355
Q8TEM1,0.40446135
P00533,0.8767902
P21802,0.9739968
P08247,0.860217
P29317,0.981518
P17948,0.65829
P05556,0.100737095
P10747,0.43164152
P61073,0.08856619
Q15303,0.9258467
O00254,0.16685168
Q9Y624,0.07230882
P31645,0.092549644
P49146,0.25972903
P13569,0.07066983
Q03135,0.04015422
